,Abstract_Expressionism,Action_painting,Analytical_Cubism,Art_Nouveau,Baroque,Color_Field_Painting,Contemporary_Realism,Cubism,Early_Renaissance,Expressionism,Fauvism,High_Renaissance,Impressionism,Mannerism_Late_Renaissance,Minimalism,Naive_Art_Primitivism,New_Realism,Northern_Renaissance,Pointillism,Pop_Art,Post_Impressionism,Realism,Rococo,Romanticism,Symbolism,Synthetic_Cubism,Ukiyo_e,relevant_area,maximum_gradient,super_regions,dominant_feature
26638-05_1pr4.jpg,-7.0631294,-2.508343,3.7250838,-3.2859063,-0.27787203,-2.6697586,-1.7756503,0.15726171,15.554424,-2.077867,-3.0485353,20.837563,-7.7065487,9.251136,-2.5560405,-0.36149108,3.2276907,3.6285324,-2.8021598,-0.8496499,-3.4571416,-6.5702033,-1.7973192,-4.315772,1.4747252,-2.0050983,-2.197864,0.3673469387755102,2.9800947,4,15
15014-tahiti72.jpg,-2.4626975,-2.1343193,-0.96686363,0.6843248,-3.1711898,-4.2748737,-0.90212345,3.0636637,-2.2894633,14.858156,3.3044868,0.79821086,-1.9290178,-3.1049829,-3.3581257,4.815372,3.7670693,-0.042994708,-0.4942504,0.78637195,7.0228114,-2.26623,-6.0819597,-3.3504808,1.5764992,-1.215591,-1.2342334,0.3877551020408163,3.7135203,1,10
15023-marque06.jpg,-6.146632,-2.7019665,-1.0108562,2.0969293,-2.940221,-5.425075,-0.7791936,4.1963873,-1.7088151,7.1128855,2.6882362,-3.170167,4.643964,-2.9588132,-3.9625921,4.458062,2.701725,-1.3971161,-0.8387066,-3.862403,13.504864,1.9541513,-3.4850674,0.43332365,0.4070964,-1.3519137,-2.6302807,0.4489795918367347,3.3274808,2,15
33575-104portr.jpg,-1.0417838,-1.7866366,-0.37045845,-3.9306598,14.952488,-3.4119124,-2.770083,-0.015198529,-3.1268554,-1.6786377,-4.210594,2.4546885,2.6869807,4.0787168,-3.113768,-3.0894737,1.3218695,3.89748,1.1831218,-1.4166706,-1.6451716,-2.2569013,-2.824393,3.0465333,4.6819296,-1.2643838,-1.2274112,0.3265306122448979,3.2533,1,9
26581-05_3ce5.jpg,-5.9876475,-2.5433831,0.43492663,-0.083185196,4.0592527,-4.9993234,-3.5547676,-0.31148565,4.4212103,-2.550407,-1.8272413,11.393436,-4.971998,8.335548,-3.458065,1.1740843,2.080082,6.9405737,0.5981684,-0.36783147,0.94737697,-5.5152273,-1.500054,1.2976576,-0.87483734,-1.4944302,-0.46257824,0.4489795918367347,3.379565,2,15
33621-09sp1633.jpg,-4.571925,-2.0476027,-0.6349001,-4.3165064,16.264656,-4.35342,-2.729792,-2.3983223,-2.3754153,-6.569691,-5.466332,5.934825,-5.233732,9.983841,0.12132087,-2.7621117,0.7755641,2.5041192,-1.2459931,-1.0747622,-4.3696375,2.146408,9.158569,5.3319516,-0.8131325,-1.6744567,-0.14589483,0.4285714285714285,3.4240522,1,4
14988-2ponta03.jpg,-0.63621485,-0.92875564,1.131093,-1.0399649,-2.0971918,-1.2101604,-0.46587738,3.5985634,-0.9991878,3.4726045,0.57164365,3.484775,-2.3154347,-0.07341181,-2.8347363,-2.0071151,4.622763,-0.17771572,-0.23985873,0.82621443,1.3623985,-4.6208286,-3.8851519,-2.6262484,5.941846,2.189931,-1.4737337,0.4285714285714285,3.744194,1,15
17232-4earlie3.jpg,-4.1004357,-1.0325301,-1.2336333,3.3671494,-2.4015245,-4.8836055,0.5942822,1.6053487,-2.7313008,6.322333,2.0096793,-2.1316667,-0.9897758,-0.24022084,-1.7826089,1.7661848,0.91945297,-0.719857,-0.049377292,-0.90672326,12.009377,0.8277438,-4.4409046,-1.6636286,-0.26695526,-0.77961016,0.13357982,0.2040816326530612,3.8792899,1,15
14986-2ponta01.jpg,-0.13981032,0.06267884,0.67124647,0.46492752,-3.5719247,-1.9855342,-1.7105253,2.8714228,-0.6897434,5.8129663,5.0531707,1.5526906,-2.336576,-1.2667992,-3.250239,2.0127463,1.4694065,-0.67593074,1.4007179,0.82702446,5.2861967,-4.201159,-5.0906906,-4.538293,2.4931161,0.06659649,-0.83007544,0.3469387755102041,3.1338813,3,12
13334-31jerom.jpg,-5.817022,-2.4874156,1.157427,-0.120808214,5.2055955,-5.1777854,-2.3682923,1.3430669,3.5285509,3.374051,-2.764051,-0.054435313,-5.2747164,-0.3268924,-3.3165965,2.091931,-0.3844042,9.438635,-1.4870114,-2.3480875,-0.7055546,3.8644295,-1.0298827,2.6248975,-1.9095111,1.8785322,2.3658748,0.4897959183673469,3.2175171,1,15
14905-early07.jpg,-3.6466248,-1.7119062,0.06304127,-0.4910983,1.7188504,-3.4991574,0.10214117,-1.0156715,0.7299289,-3.304936,-1.539665,-0.014088452,6.881581,-0.19770268,-4.5691333,-0.35485092,1.687074,5.210875,1.2802376,-1.6920174,1.5411421,0.17731369,-2.5319464,1.1447467,4.1193967,-0.29379374,-0.4729772,0.3673469387755102,3.5733485,3,14
33577-106portr.jpg,-3.086473,-0.7376833,-1.4077134,-2.0902948,10.330654,-0.77557474,0.1435385,-2.3779285,-2.6174517,-2.8224545,-4.1464295,-0.16959053,3.5161324,2.4921796,-0.7703935,-2.4667032,2.0549808,0.7278209,-1.1589377,-1.1458062,-3.4698873,9.100171,2.1963258,2.0334194,0.49961287,-1.8970734,-2.3951907,0.4081632653061224,3.164477,1,17
26624-09_5ne.jpg,-2.3922849,-2.0876608,0.011132315,1.9678621,-1.1581938,-3.849909,-3.507229,2.33113,2.7674537,3.524111,-1.6062557,7.294807,-4.49063,4.2951875,-2.841044,-2.5473394,2.6341543,4.465246,-0.6219445,-0.57725483,1.8493832,-2.4538596,-1.9498118,-2.616622,2.931783,-1.2490377,-0.58386433,0.5306122448979592,2.8560593,2,17
17279-selfpo06.jpg,-5.840625,-1.5525947,-2.4434185,4.6562996,-4.2137675,-5.56993,1.7052672,-2.024403,-2.8755314,1.3117459,0.34948182,-2.1097739,12.575972,-1.7379011,-3.8461523,-0.63110197,1.9634106,3.8917823,0.2743875,-2.635175,7.2464466,5.9546213,-2.682064,5.827508,0.14819556,-3.5442748,-3.2178388,0.3673469387755102,3.4168723,1,3
23864-4manet02.jpg,-2.4388194,1.6801939,-2.2260628,8.87247,-0.28478813,-5.0712037,1.1857789,-2.9883928,-1.9747932,0.3106231,-2.8321235,-3.9567604,-2.2610822,0.037839465,-0.37865287,0.9507443,0.34830654,-1.6132518,-0.39512014,1.1858277,-1.8235699,6.5475087,2.3824368,7.190283,-1.7024894,-3.0562944,2.3657928,0.4693877551020408,2.6053078,3,4
26745-04_5sp4.jpg,-6.0094967,-1.8437409,0.76008797,2.2754803,0.92592,-2.5286326,-1.5320785,-0.11173144,5.550488,-2.3541133,-2.3227432,9.333637,-1.5989757,7.702921,-3.2283435,-1.1362575,2.3310378,4.8001328,-0.6121062,0.17374253,-4.4131484,-5.117814,-1.7980599,0.7352345,4.7671638,-1.3256261,-1.9018,0.5306122448979592,2.8340268,2,12
